epoch_idx,roi,theta_power,participant_id,condition,task
53,centro_temporal,0.28076438204200904,sub-01,NS,eyesclosed
54,centro_temporal,0.28618938525969,sub-01,NS,eyesclosed
55,centro_temporal,0.3652565445692501,sub-01,NS,eyesclosed
56,centro_temporal,0.24721508716714585,sub-01,NS,eyesclosed
57,centro_temporal,0.19544584357458092,sub-01,NS,eyesclosed
58,centro_temporal,0.1735228158736677,sub-01,NS,eyesclosed
59,centro_temporal,0.1772995480445819,sub-01,NS,eyesclosed
60,centro_temporal,0.17798810825996506,sub-01,NS,eyesclosed
61,centro_temporal,0.2224509427660601,sub-01,NS,eyesclosed
62,centro_temporal,0.19463875213047208,sub-01,NS,eyesclosed
63,centro_temporal,0.1853210037939817,sub-01,NS,eyesclosed
64,centro_temporal,0.3295972178386216,sub-01,NS,eyesclosed
65,centro_temporal,0.25635397067799354,sub-01,NS,eyesclosed
66,centro_temporal,0.16697425369455862,sub-01,NS,eyesclosed
67,centro_temporal,0.2665683371212721,sub-01,NS,eyesclosed
68,centro_temporal,0.1774196743740637,sub-01,NS,eyesclosed
69,centro_temporal,0.18716265904357451,sub-01,NS,eyesclosed
70,centro_temporal,0.13472730980762357,sub-01,NS,eyesclosed
71,centro_temporal,0.24563000647966218,sub-01,NS,eyesclosed
72,centro_temporal,0.2181407709478593,sub-01,NS,eyesclosed
73,centro_temporal,0.1087931580836874,sub-01,NS,eyesclosed
74,centro_temporal,0.129503937490157,sub-01,NS,eyesclosed
0,other,0.18627747593712193,sub-01,NS,eyesclosed
1,other,0.14437814166030516,sub-01,NS,eyesclosed
2,other,0.34701174598748297,sub-01,NS,eyesclosed
3,other,0.11571304360085298,sub-01,NS,eyesclosed
4,other,0.10312145025295834,sub-01,NS,eyesclosed
5,other,0.2290870787400932,sub-01,NS,eyesclosed
6,other,0.323108328660341,sub-01,NS,eyesclosed
7,other,0.09375227210860132,sub-01,NS,eyesclosed
8,other,0.13662863027963135,sub-01,NS,eyesclosed
9,other,0.19960471771837734,sub-01,NS,eyesclosed
10,other,0.2876131925367593,sub-01,NS,eyesclosed
11,other,0.2847853933852947,sub-01,NS,eyesclosed
12,other,0.15821802561926643,sub-01,NS,eyesclosed
13,other,0.16365018186784333,sub-01,NS,eyesclosed
14,other,0.17278602144085511,sub-01,NS,eyesclosed
15,other,0.34034893597878363,sub-01,NS,eyesclosed
16,other,0.09896660052103888,sub-01,NS,eyesclosed
17,other,0.27334110153078406,sub-01,NS,eyesclosed
18,other,0.2952012867603611,sub-01,NS,eyesclosed
19,other,0.16150534792790225,sub-01,NS,eyesclosed
20,other,0.23842838372829167,sub-01,NS,eyesclosed
21,other,0.20542878811617377,sub-01,NS,eyesclosed
22,other,0.200155180556751,sub-01,NS,eyesclosed
23,other,0.1950027431407352,sub-01,NS,eyesclosed
24,other,0.11638184177228553,sub-01,NS,eyesclosed
25,other,0.16579905228199807,sub-01,NS,eyesclosed
26,other,0.2203013797881717,sub-01,NS,eyesclosed
27,other,0.173610737461645,sub-01,NS,eyesclosed
28,other,0.313087523865796,sub-01,NS,eyesclosed
29,other,0.2814029875531484,sub-01,NS,eyesclosed
30,other,0.30019876184262806,sub-01,NS,eyesclosed
31,other,0.2651063404581536,sub-01,NS,eyesclosed
32,other,0.27894750940904506,sub-01,NS,eyesclosed
33,other,0.1585709831185853,sub-01,NS,eyesclosed
34,other,0.34221322406732224,sub-01,NS,eyesclosed
35,other,0.22795803205021012,sub-01,NS,eyesclosed
36,other,0.14590297018434406,sub-01,NS,eyesclosed
37,other,0.27738886669998847,sub-01,NS,eyesclosed
38,other,0.17691926578973693,sub-01,NS,eyesclosed
39,other,0.07741176394948707,sub-01,NS,eyesclosed
40,other,0.2703867217547527,sub-01,NS,eyesclosed
41,other,0.12125503879596519,sub-01,NS,eyesclosed
42,other,0.062452726789250984,sub-01,NS,eyesclosed
43,other,0.08144501749920251,sub-01,NS,eyesclosed
44,other,0.1405946838181719,sub-01,NS,eyesclosed
45,other,0.24800087506593038,sub-01,NS,eyesclosed
46,other,0.1386053638596301,sub-01,NS,eyesclosed
47,other,0.2539854149409435,sub-01,NS,eyesclosed
48,other,0.28289465536966124,sub-01,NS,eyesclosed
49,other,0.2217283964133555,sub-01,NS,eyesclosed
50,other,0.15478804658245723,sub-01,NS,eyesclosed
51,other,0.13807068371298062,sub-01,NS,eyesclosed
52,other,0.2282222908215472,sub-01,NS,eyesclosed
53,other,0.1699179303271662,sub-01,NS,eyesclosed
